u2_min,u2_max,u2_min_open,u2_max_open,peak_N,peak_u2,has_sensitivity,u2_max_dm_lo,u2_min_dm_lo,u2_max_dm_hi,u2_min_dm_hi,width_delta,had_frac,mass_GeV,flavor,n_events,n_hits,n_hits_eval,decay_samples,hit_estimator,event_chunk,seed_salt
1.7304823023653483e-08,0.0002307542737689,False,False,13516.83533942512,4.297004704320844e-06,True,0.0001867952432703,1.5961656881837737e-08,0.0002995539102769,1.9127040642725443e-08,0.2,0.664101273324498,1.8,Umu,499999,3980,3980,50,exact,1000,
2.3651372959775875e-08,0.0001093053584209,False,False,2563.7539394550063,2.58261876068268e-06,True,8.794511552602611e-05,2.1705809532901688e-08,0.0001423221718085,2.6198787828708442e-08,0.2,0.6653931475851534,2.0,Umu,399999,3107,3107,50,exact,1000,
2.5547673041064723e-08,5.395090926356424e-05,False,False,818.3377959841365,1.762914118095948e-06,True,4.29601684074532e-05,2.3867699979538803e-08,7.085772554722816e-05,2.766252942474644e-08,0.2,0.6685944199011787,2.2,Umu,399999,3102,3102,50,exact,1000,
2.5670700637497297e-08,2.812631608367185e-05,False,False,297.0609901627583,9.329304026284696e-07,True,2.2200007890320932e-05,2.3992929292505923e-08,3.721800858729043e-05,2.7765894454411667e-08,0.2,0.6726393433087031,2.4,Umu,399999,3015,3015,50,exact,1000,
3.1423767323521553e-08,1.5112659312483397e-05,False,False,97.28948343802058,6.368249944718587e-07,True,1.183115152690725e-05,2.9563946690789497e-08,2.0304752585452027e-05,3.3973253459453945e-08,0.2,0.6767177743087064,2.6,Umu,399999,2979,2979,50,exact,1000,
4.3947539859957075e-08,8.344779939931487e-06,False,False,28.960280355888955,4.347013158125027e-07,True,6.465314436908405e-06,4.1721192957754495e-08,1.1339329690833723e-05,4.6574748903472345e-08,0.2,0.6804287349825517,2.8,Umu,399999,2953,2953,50,exact,1000,
7.606840966236832e-08,4.64962040262491e-06,False,False,9.847722245206498,1.2033778407775905e-06,True,3.5170763941001908e-06,7.601599588712019e-08,6.4545149779483095e-06,7.712727795565436e-08,0.2,0.6836554260734233,3.0,Umu,399999,2912,2912,50,exact,1000,
1.123107143476025e-07,2.5567849683571467e-06,False,False,6.390074934466465,9.329304026284696e-07,True,1.8587438793869544e-06,1.2808319050982378e-07,3.668775580185223e-06,1.0348287876650605e-07,0.2,0.6863940189885345,3.2,Umu,399999,2998,2998,50,exact,1000,
1.4279708154117208e-07,1.4042045974917122e-06,False,False,4.4741588549174045,6.368249944718587e-07,True,9.291654959905536e-07,2.397556928222354e-07,2.125823278653311e-06,1.0972393816196722e-07,0.2,0.688686639843585,3.4,Umu,299999,2303,2303,50,exact,1000,
2.8698525002803645e-07,6.682206830743442e-07,False,False,3.2506661503272563,4.347013158125027e-07,True,,,1.205065646392398e-06,1.6383967030202996e-07,0.2,0.6905841970651581,3.6,Umu,299999,2291,2291,50,exact,1000,
4.1994706639459347e-07,4.971225023180994e-07,False,False,3.0098605517962516,4.347013158125027e-07,True,,,1.0978062154478031e-06,1.8323365274041105e-07,0.2,0.6907476375176953,3.62,Umu,299999,2198,2198,50,exact,1000,
1.0980264533568207e-05,,False,True,7875535.985852309,0.0880488358164348,True,,1.098048046659074e-05,,1.0980048617730211e-05,0.05,0.8595427332015481,0.305,Utau,662957,5600,5600,50,exact,1000,
3.099611255359298e-06,,False,True,979187.814041618,0.0078428220613376,True,,3.0997697284555587e-06,,3.0994528138616794e-06,0.05,0.7449725935924167,0.5,Utau,662957,5235,5235,50,exact,1000,
6.990880436441262e-07,,False,True,202817.70273244203,0.0006985879746785,True,,6.877743764136853e-07,,7.113465344819737e-07,0.05,0.6361720740702287,0.8,Utau,662957,5054,5054,50,exact,1000,
4.815315405798375e-07,0.0293185099083172,False,False,42042.9476621958,0.0002221946860939,True,0.0276234529622372,4.6935175223298e-07,0.030996181758516,4.949851015148281e-07,0.05,0.6213444403453224,1.0,Utau,662957,4902,4902,50,exact,1000,
3.554378328391878e-07,0.0088504682661695,False,False,11957.276320528708,9.115888299750836e-05,True,0.0082692602193794,3.412272360288477e-07,0.0097383589801035,3.732476315920085e-07,0.075,0.6230118752092989,1.2,Utau,662957,4806,4806,50,exact,1000,
4.579281241197698e-07,0.0033527268732925,False,False,1735.8384623195209,4.824108704165374e-05,True,0.0030330398907182,4.3313441943448513e-07,0.0037394857340139,4.914107039893777e-07,0.0999999999999999,0.6116618507419999,1.4,Utau,662957,4671,4671,50,exact,1000,
6.321010749663735e-07,0.001429338656831,False,False,617.536305149756,0.0001956398343517,True,0.0012567793291567,5.854838002999937e-07,0.0016488928857707,6.881900673210832e-07,0.125,0.5920250377475607,1.6,Utau,562957,4118,4118,50,exact,1000,
5.15019250090965e-07,0.0006526657765924,False,False,322.1623484330215,0.0001035321843295,True,0.0005568183512727,4.735458259653801e-07,0.0007767534013583,5.717637890423952e-07,0.15,0.5891118188375337,1.8,Utau,299999,2457,2457,50,exact,1000,
4.309866198684386e-07,0.0003122392877941,False,False,157.2404921720855,5.478901179593945e-05,True,0.0002590166831037,3.937864040271051e-07,0.0003878832986317,4.813829902318655e-07,0.175,0.5868769643541107,2.0,Utau,299999,2408,2408,50,exact,1000,
3.572408331400019e-07,0.0001546551874577,False,False,80.40483404414192,2.8994228538828813e-05,True,0.0001258106665891,3.26008318166064e-07,0.0001993944046918,4.029788037348706e-07,0.2,0.5853271785185628,2.2,Utau,299999,2426,2426,50,exact,1000,
3.227810611796472e-07,8.005228302327456e-05,False,False,46.2408269587322,1.742633386009651e-05,True,6.466604564682419e-05,2.9875043895031697e-07,0.0001042916098958,3.5811659340882057e-07,0.2,0.5845525920042748,2.4,Utau,299999,2349,2349,50,exact,1000,
3.055193865131995e-07,4.3283473457088936e-05,False,False,27.148444469493363,1.0473708979594508e-05,True,3.452297594057474e-05,2.878926536779461e-07,5.714935590827603e-05,3.314619314305179e-07,0.2,0.5845155139632491,2.6,Utau,299999,2248,2248,50,exact,1000,
2.957322509280659e-07,2.369839466119874e-05,False,False,16.214924654646403,6.294988990221888e-06,True,1.861994029285178e-05,2.858625630409205e-07,3.163645838322626e-05,3.114746810067599e-07,0.2,0.5851603269005448,2.8,Utau,299999,2207,2207,50,exact,1000,
2.992010248250325e-07,1.2849752931374622e-05,False,False,10.59272028634281,4.297004704320844e-06,True,9.91203530540207e-06,3.027623660527007e-07,1.743709221959433e-05,3.027337628954416e-07,0.2,0.5864747865565468,3.0,Utau,299999,2245,2245,50,exact,1000,
3.118101496756971e-07,7.187176679778133e-06,False,False,7.429145429621913,2.58261876068268e-06,True,5.4195887997821395e-06,3.441302971236902e-07,1.0001118901195645e-05,2.9524814000738944e-07,0.2,0.5883464798388575,3.2,Utau,300000,2348,2348,50,exact,1000,
5.034153636517267e-07,3.800216942193176e-06,False,False,5.060953722384119,1.762914118095948e-06,True,2.715086192551192e-06,5.971012035969065e-07,5.4891282362696276e-06,4.215404949749008e-07,0.2,0.5914067339768115,3.4,Utau,300000,2212,2212,50,exact,1000,
6.945782805052233e-07,1.8669386468754688e-06,False,False,3.504446236233224,1.2033778407775905e-06,True,,,2.987952419026348e-06,5.653158855439449e-07,0.2,0.5962260101039083,3.6,Utau,200000,1464,1464,50,exact,1000,
6.808521618582108e-07,1.7120411960215725e-06,False,False,3.4115214395896376,1.059560179277617e-06,True,,,2.7745041541121407e-06,5.489662657586539e-07,0.2,0.5968240595817152,3.62,Utau,200000,1526,1526,50,exact,1000,
6.861862230533388e-07,1.657932774622034e-06,False,False,3.3826373519478876,1.059560179277617e-06,True,,,2.71500820319459e-06,5.483840893646564e-07,0.2,0.5971230843206188,3.63,Utau,200000,1523,1523,50,exact,1000,
6.943641256998193e-07,1.6164253260008386e-06,False,False,3.3589871717529824,1.059560179277617e-06,True,,,2.661145046136929e-06,5.53057602823363e-07,0.2,0.5974221090595223,3.64,Utau,200000,1475,1475,50,exact,1000,
6.751286633056845e-07,1.5723786497306268e-06,False,False,3.3554294701568512,1.059560179277617e-06,True,,,2.5811552214316713e-06,5.396654363245545e-07,0.2,0.5977211337984257,3.65,Utau,200000,1530,1530,50,exact,1000,
8.011960113789503e-07,1.2820591072893388e-06,False,False,3.113101477756582,1.059560179277617e-06,True,,,2.3237113299621026e-06,5.881209252398682e-07,0.2,0.5984686956456845,3.675,Utau,200000,1467,1467,50,exact,1000,
7.665936723253469e-07,1.3086850640598656e-06,False,False,3.145270741919717,1.059560179277617e-06,True,,,2.3183947162678822e-06,5.710256407588809e-07,0.2,0.598767720384588,3.685,Utau,200000,1468,1468,50,exact,1000,
